time,positive,value,forecast,prev
2015-08-07T15:30:00+03:00,false,215K,223K,231K
2015-07-02T15:30:00+03:00,false,223K,230K,254K
2015-06-05T15:30:00+03:00,true,280K,225K,221K
2015-05-08T15:30:00+03:00,false,223K,224K,85K
2015-04-03T15:30:00+03:00,false,126K,245K,264K
2015-03-06T16:30:00+03:00,true,295K,240K,239K
2015-02-06T16:30:00+03:00,true,257K,234K,329K
2015-01-09T16:30:00+03:00,true,252K,240K,353K
2014-12-05T16:30:00+03:00,true,321K,225K,243K
2014-11-07T16:30:00+03:00,false,214K,231K,256K
2014-10-03T15:30:00+04:00,true,248K,215K,180K
2014-09-05T15:30:00+04:00,false,142K,225K,212K
2014-08-01T15:30:00+04:00,false,209K,233K,298K
2014-07-03T15:30:00+04:00,true,288K,212K,224K
2014-06-06T15:30:00+04:00,false,217K,218K,282K
2014-05-02T15:30:00+04:00,true,288K,210K,203K
2014-04-04T15:30:00+04:00,false,192K,200K,197K
2014-03-07T16:30:00+04:00,true,175K,149K,129K
2014-02-07T16:30:00+04:00,false,113K,185K,75K
2014-01-10T16:30:00+04:00,false,74K,196K,241K
2013-12-06T16:30:00+04:00,true,203K,180K,200K
2013-11-08T16:30:00+04:00,true,204K,125K,163K
2013-10-22T15:30:00+04:00,false,148K,180K,193K
2013-09-06T15:30:00+04:00,false,169K,180K,104K
2013-08-02T15:30:00+04:00,false,162K,184K,188K
2013-07-05T15:30:00+04:00,true,195K,165K,195K
2013-06-07T15:30:00+04:00,true,175K,170K,149K
2013-05-03T15:30:00+04:00,true,165K,145K,138K
2013-04-05T15:30:00+04:00,false,88K,200K,268K
2013-03-08T16:30:00+04:00,true,236K,160K,119K
2013-02-01T16:30:00+04:00,false,157K,160K,196K
2013-01-04T16:30:00+04:00,true,155K,150K,161K
